date,OT,HUFL,HULL,MUFL,MULL,LUFL,LULL
2016-07-01 00:00:00,30.53,5.83,2.01,1.60,0.46,4.20,1.34
2016-07-01 01:00:00,27.79,5.69,2.08,1.49,0.43,4.14,1.37
2016-07-01 02:00:00,27.79,5.16,1.74,1.28,0.35,3.78,1.22
2016-07-01 03:00:00,25.04,5.09,1.94,1.28,0.39,3.81,1.28
2016-07-01 04:00:00,21.95,5.36,1.94,1.49,0.46,3.87,1.28
2016-07-01 05:00:00,21.17,5.63,2.14,1.53,0.53,4.05,1.37
2016-07-01 06:00:00,22.79,7.17,2.95,2.13,0.78,5.03,1.86
2016-07-01 07:00:00,23.14,7.43,3.28,2.31,1.03,5.09,2.22
2016-07-01 08:00:00,21.67,5.56,3.01,2.45,1.17,2.95,1.43
2016-07-01 09:00:00,17.45,4.55,2.55,1.92,0.82,2.68,1.37
2016-07-01 10:00:00,19.98,4.96,2.55,1.99,0.85,2.95,1.49
2016-07-01 11:00:00,20.12,5.76,2.55,2.20,0.85,3.44,1.49
2016-07-01 12:00:00,19.20,4.69,2.55,1.81,0.85,2.83,1.52
2016-07-01 13:00:00,18.57,4.69,2.68,1.78,1.24,3.11,1.61
2016-07-01 14:00:00,19.56,5.09,2.95,2.45,1.35,2.56,1.43
2016-07-01 15:00:00,17.31,5.09,3.15,2.49,1.35,2.59,1.52
2016-07-01 16:00:00,19.49,4.22,2.41,1.71,0.78,2.62,1.49
2016-07-01 17:00:00,19.13,4.76,2.34,1.63,0.71,3.08,1.49
2016-07-01 18:00:00,20.68,5.63,2.88,2.52,1.21,3.08,1.49
2016-07-01 19:00:00,18.71,5.49,3.01,2.45,1.21,3.02,1.55
2016-07-01 20:00:00,17.87,5.36,3.01,2.45,1.21,2.86,1.52
2016-07-01 21:00:00,18.01,5.09,2.95,2.38,1.21,2.68,1.52
2016-07-01 22:00:00,18.01,4.82,2.95,2.20,1.17,2.62,1.52
2016-07-01 23:00:00,19.77,4.62,2.88,2.13,1.14,2.47,1.49
2016-07-02 00:00:00,21.10,5.22,3.08,2.70,1.32,2.44,1.52
2016-07-02 01:00:00,19.70,5.16,3.01,2.88,1.35,2.35,1.43
2016-07-02 02:00:00,20.05,5.16,3.15,2.88,1.49,2.28,1.43
2016-07-02 03:00:00,20.75,5.16,3.08,2.91,1.49,2.19,1.40
2016-07-02 04:00:00,21.39,4.55,3.08,2.45,1.49,2.19,1.40
2016-07-02 05:00:00,22.23,5.43,3.28,3.09,1.71,2.44,1.46
