date,dc_power,CloudOpacity,Ghi,ApparentTemperature,AirTemperature,DewPointTemperature,RelativeHumidity,WindSpeed,WindDirection
2020-01-01 00:00:00,0.00,0.0,983,13.67,13.88,8.96,72.40,0.00,188.13
2020-01-01 01:00:00,0.00,0.0,1069,11.95,13.26,9.27,76.53,5.95,247.87
2020-01-01 02:00:00,0.00,0.0,1092,11.83,12.90,9.49,79.87,5.31,253.73
2020-01-01 03:00:00,0.00,0.0,1051,11.43,12.17,9.95,86.33,3.96,254.27
2020-01-01 04:00:00,0.00,0.0,950,10.62,10.96,9.26,89.00,0.84,240.73
2020-01-01 05:00:00,0.00,0.0,798,9.55,9.75,8.99,95.07,0.00,98.00
2020-01-01 06:00:00,0.00,0.0,608,8.15,8.57,8.47,99.00,0.00,11.00
2020-01-01 07:00:00,1.67,0.0,397,8.73,9.43,8.84,96.27,2.33,11.00
2020-01-01 08:00:00,5.93,0.0,185,12.57,13.46,9.57,77.27,4.56,11.27
2020-01-01 09:00:00,11.11,0.0,25,15.25,16.25,10.16,67.20,5.60,203.53
2020-01-01 10:00:00,15.83,0.0,0,16.57,18.26,10.52,60.60,9.53,236.73
2020-01-01 11:00:00,19.20,0.0,0,17.52,20.53,8.46,45.87,13.72,235.33
2020-01-01 12:00:00,21.26,0.0,0,17.91,21.66,5.37,34.60,13.50,223.47
2020-01-01 13:00:00,20.98,0.0,0,19.60,23.23,5.50,31.73,13.40,223.93
2020-01-01 14:00:00,0.00,0.0,0,20.49,24.23,6.20,31.33,14.60,212.80
2020-01-01 15:00:00,21.09,0.0,0,22.03,24.59,6.67,31.67,9.05,195.20
2020-01-01 16:00:00,9.94,0.0,0,22.94,25.84,7.18,30.47,11.92,190.47
2020-01-01 17:00:00,15.27,0.0,0,23.31,26.42,7.29,29.67,12.76,223.33
2020-01-01 18:00:00,10.44,0.0,0,23.32,26.21,7.13,29.73,11.58,214.13
2020-01-01 19:00:00,4.67,0.0,52,21.91,24.93,8.11,34.27,13.12,212.73
2020-01-01 20:00:00,0.88,0.0,233,20.11,22.29,8.91,42.47,9.88,198.73
2020-01-01 21:00:00,0.00,0.0,448,16.01,19.02,9.14,52.73,14.80,201.40
2020-01-01 22:00:00,0.00,0.0,658,15.09,17.87,9.05,56.27,13.24,190.73
2020-01-01 23:00:00,0.00,0.0,841,15.45,17.03,9.41,60.87,7.83,158.33
2020-01-02 00:00:00,0.00,0.0,977,15.49,15.95,9.98,67.67,2.19,196.67
2020-01-02 01:00:00,0.00,0.0,1061,14.62,15.28,10.55,73.33,4.28,205.27
2020-01-02 02:00:00,0.00,0.0,1085,14.81,14.62,10.39,75.87,0.00,165.00
2020-01-02 03:00:00,0.00,0.0,1043,13.95,13.83,10.25,79.13,0.00,165.00
2020-01-02 04:00:00,0.00,0.0,944,13.15,13.01,10.39,83.87,0.00,158.00
2020-01-02 05:00:00,0.00,3.0,771,11.96,11.86,10.21,89.73,0.00,157.00
