date,dc_power,air_temp,azimuth,cloud_opacity,dhi,dni,ghi,zenith
2023-04-01 01:00:00,0,8,-27,37.4,0,0,0,125
2023-04-01 02:00:00,0,8,-43,46.6,0,0,0,120
2023-04-01 03:00:00,0,8,-57,40.6,0,0,0,112
2023-04-01 04:00:00,0,7,-70,47.6,0,0,0,103
2023-04-01 05:00:00,0,7,-81,58.2,0,0,0,93
2023-04-01 06:00:00,0,7,-92,45.6,50,0,50,83
2023-04-01 07:00:00,0,8,-104,81.3,50,0,50,72
2023-04-01 08:00:00,0,8,-116,80.6,85,0,85,63
2023-04-01 09:00:00,0,8,-131,77.8,131,0,131,54
2023-04-01 10:00:00,0,9,-148,69.4,213,0,213,48
2023-04-01 11:00:00,0,9,-168,75.6,185,0,185,44
2023-04-01 12:00:00,0,10,170,45.4,415,0,415,44
2023-04-01 13:00:00,0,10,150,50.3,351,0,351,47
2023-04-01 14:00:00,0,11,132,53,284,0,284,54
2023-04-01 15:00:00,0,10,117,50.2,230,0,230,62
2023-04-01 16:00:00,0,10,105,36.9,175,23,183,71
2023-04-01 17:00:00,0,9,93,50.9,55,0,55,81
2023-04-01 18:00:00,0,9,82,40.6,0,0,0,92
2023-04-01 19:00:00,0,8,71,19.9,0,0,0,101
2023-04-01 20:00:00,0,8,59,18.8,0,0,0,111
2023-04-01 21:00:00,0,7,45,33.2,0,0,0,119
2023-04-01 22:00:00,0,7,29,24.5,0,0,0,125
2023-04-01 23:00:00,0,6,10,36.4,0,0,0,128
2023-04-02 00:00:00,0,6,-9,35.3,0,0,0,128
2023-04-02 01:00:00,0,6,-27,36.2,0,0,0,125
2023-04-02 02:00:00,0,5,-43,25.4,0,0,0,119
2023-04-02 03:00:00,0,5,-57,17.5,0,0,0,111
2023-04-02 04:00:00,0,5,-70,0,0,0,0,102
2023-04-02 05:00:00,0,5,-81,31.9,0,0,0,92
2023-04-02 06:00:00,0,5,-92,24.2,63,81,74,82
2023-04-02 07:00:00,0,7,-103,25.7,147,185,204,72
2023-04-02 08:00:00,0.5,8,-116,4.8,101,710,429,63
2023-04-02 09:00:00,2.1,9,-130,27.5,293,240,434,54
2023-04-02 10:00:00,3.1,10,-148,21.6,297,381,556,47
2023-04-02 11:00:00,1.7,10,-168,24,338,337,583,43
2023-04-02 12:00:00,3.9,11,170,69.2,237,0,237,43
2023-04-02 13:00:00,10.8,11,149,29.5,359,211,504,47
2023-04-02 14:00:00,10.8,11,132,0.1,82,882,610,53
2023-04-02 15:00:00,5.4,11,117,61.8,177,0,177,62
2023-04-02 16:00:00,10,11,104,71.3,83,0,83,71
2023-04-02 17:00:00,3.7,10,93,65,39,0,39,81
2023-04-02 18:00:00,0.5,9,82,33,0,0,0,91
2023-04-02 19:00:00,0,8,71,48.4,0,0,0,101
2023-04-02 20:00:00,0,8,58,45.4,0,0,0,110
2023-04-02 21:00:00,0,7,44,44.4,0,0,0,118
2023-04-02 22:00:00,0,7,28,45.4,0,0,0,124
2023-04-02 23:00:00,0,7,10,38.3,0,0,0,128
2023-04-03 00:00:00,0,6,-9,20.9,0,0,0,128
2023-04-03 01:00:00,0,6,-27,27.4,0,0,0,125
2023-04-03 02:00:00,0,5,-43,43.2,0,0,0,119
2023-04-03 03:00:00,0,5,-57,32.8,0,0,0,111
2023-04-03 04:00:00,0,4,-70,36,0,0,0,102
2023-04-03 05:00:00,0,4,-81,12.6,0,0,0,92
2023-04-03 06:00:00,0,3,-92,56.2,44,0,44,82
2023-04-03 07:00:00,0,3,-103,56.1,123,0,123,72
2023-04-03 08:00:00,0.6,3,-116,52.6,218,0,218,62
2023-04-03 09:00:00,1.3,4,-130,60.6,241,0,241,54
2023-04-03 10:00:00,2.5,4,-148,69.4,221,0,221,47
2023-04-03 11:00:00,3.1,4,-168,67.3,255,0,255,43
2023-04-03 12:00:00,2.8,5,170,51.4,381,0,381,43
2023-04-03 13:00:00,4.4,5,149,44.5,406,0,406,46
2023-04-03 14:00:00,8.2,5,131,47.3,331,0,331,53
2023-04-03 15:00:00,12.3,5,117,49.1,245,0,245,61
2023-04-03 16:00:00,5.2,5,104,53.8,141,0,141,71
2023-04-03 17:00:00,2.3,5,93,45.7,67,0,67,81
2023-04-03 18:00:00,1.1,5,82,37,0,0,0,91
2023-04-03 19:00:00,0.3,4,70,36,0,0,0,101
2023-04-03 20:00:00,0,4,58,15,0,0,0,110
2023-04-03 21:00:00,0,3,44,0,0,0,0,118
2023-04-03 22:00:00,0,3,28,0,0,0,0,124
2023-04-03 23:00:00,0,2,10,0,0,0,0,127
2023-04-04 00:00:00,0,2,-9,0,0,0,0,127
2023-04-04 01:00:00,0,1,-27,0,0,0,0,124
2023-04-04 02:00:00,0,1,-43,0,0,0,0,118
2023-04-04 03:00:00,0,0,-57,0,0,0,0,111
2023-04-04 04:00:00,0,0,-69,0,0,0,0,102
2023-04-04 05:00:00,0,-1,-81,0,0,0,0,92
2023-04-04 06:00:00,0,-1,-92,0,33,587,120,82
2023-04-04 07:00:00,0,0,-103,0,51,803,307,71
2023-04-04 08:00:00,0.3,1,-115,0,61,904,488,62
2023-04-04 09:00:00,1,2,-130,0,68,959,641,53
2023-04-04 10:00:00,5.5,4,-148,0,72,987,751,47
2023-04-04 11:00:00,8.5,5,-168,0,74,1000,809,43
2023-04-04 12:00:00,9.5,6,170,0,74,999,810,42
2023-04-04 13:00:00,10,7,149,0,72,984,754,46
2023-04-04 14:00:00,3.4,7,131,0,70,950,647,53
2023-04-04 15:00:00,10,7,116,0,66,891,497,61
2023-04-04 16:00:00,0.1,6,104,0,55,790,317,71
2023-04-04 17:00:00,8.9,6,92,0,37,582,132,81
2023-04-04 18:00:00,4.9,4,81,0,0,0,0,91
2023-04-04 19:00:00,1.2,2,70,0,0,0,0,101
2023-04-04 20:00:00,0,1,58,0,0,0,0,110
2023-04-04 21:00:00,0,0,44,0,0,0,0,118
2023-04-04 22:00:00,0,0,28,45.1,0,0,0,124
2023-04-04 23:00:00,0,-1,10,57.7,0,0,0,127
2023-04-05 00:00:00,0,-1,-9,41,0,0,0,127
2023-04-05 01:00:00,0,-1,-27,61.2,0,0,0,124
2023-04-05 02:00:00,0,-1,-43,49.8,0,0,0,118
2023-04-05 03:00:00,0,-1,-57,57.5,0,0,0,110
2023-04-05 04:00:00,0,-2,-69,23.7,0,0,0,101
2023-04-05 05:00:00,0,-2,-80,0,0,0,0,91
2023-04-05 06:00:00,0,-1,-91,0,37,550,121,81
2023-04-05 07:00:00,0,1,-103,0,56,767,305,71
2023-04-05 08:00:00,0.4,2,-115,0,68,869,483,61
2023-04-05 09:00:00,0.8,4,-130,0,73,929,633,53
2023-04-05 10:00:00,4.9,5,-147,0,75,965,744,46
2023-04-05 11:00:00,8,6,-168,0,77,978,801,42
2023-04-05 12:00:00,10.1,7,169,0,77,978,803,42
2023-04-05 13:00:00,9.8,8,149,0,77,962,748,46
2023-04-05 14:00:00,10,8,131,0,76,924,641,52
2023-04-05 15:00:00,10,9,116,0,73,860,492,61
2023-04-05 16:00:00,10,8,103,0,63,745,314,70
2023-04-05 17:00:00,8.8,8,92,0,44,514,129,80
2023-04-05 18:00:00,5,6,81,0,0,0,0,91
2023-04-05 19:00:00,1.2,4,70,0,0,0,0,100
2023-04-05 20:00:00,0,3,57,0,0,0,0,110
2023-04-05 21:00:00,0,3,44,0,0,0,0,117
2023-04-05 22:00:00,0,2,28,0,0,0,0,123
2023-04-05 23:00:00,0,2,10,0,0,0,0,127
2023-04-06 00:00:00,0,1,-9,0,0,0,0,127
2023-04-06 01:00:00,0,0,-27,0,0,0,0,123
2023-04-06 02:00:00,0,-1,-43,0,0,0,0,118
2023-04-06 03:00:00,0,-1,-57,0,0,0,0,110
2023-04-06 04:00:00,0,-1,-69,0,0,0,0,101
2023-04-06 05:00:00,0,-1,-80,0,0,0,0,91
2023-04-06 06:00:00,0,-1,-91,0,49,439,118,81
2023-04-06 07:00:00,0,2,-103,0,73,699,304,71
2023-04-06 08:00:00,0.5,5,-115,0,86,824,484,61
2023-04-06 09:00:00,0.9,7,-130,0,90,900,637,53
2023-04-06 10:00:00,4.9,9,-147,0,90,943,748,46
2023-04-06 11:00:00,4.7,10,-168,0,96,950,803,42
2023-04-06 12:00:00,10,11,169,0,101,941,803,42
2023-04-06 13:00:00,10,12,148,0,100,921,746,45
2023-04-06 14:00:00,9.5,12,130,10.6,198,608,572,52
2023-04-06 15:00:00,8.6,12,116,39.9,294,0,294,61
2023-04-06 16:00:00,6.2,11,103,59,128,0,128,70
2023-04-06 17:00:00,3.5,11,92,72.2,36,0,36,80
2023-04-06 18:00:00,1.6,10,81,40.6,0,0,0,90
2023-04-06 19:00:00,0.6,10,69,64.7,0,0,0,100
2023-04-06 20:00:00,0,9,57,48.7,0,0,0,109
2023-04-06 21:00:00,0,8,43,49.6,0,0,0,117
2023-04-06 22:00:00,0,7,27,40.6,0,0,0,123
2023-04-06 23:00:00,0,6,10,39.6,0,0,0,126
2023-04-07 00:00:00,0,6,-9,41.6,0,0,0,126
2023-04-07 01:00:00,0,5,-27,38.3,0,0,0,123
2023-04-07 02:00:00,0,5,-43,43.5,0,0,0,117
2023-04-07 03:00:00,0,4,-56,60.9,0,0,0,110
2023-04-07 04:00:00,0,4,-69,58.1,0,0,0,100
